date,value
01/01/1991,44
01/01/1992,28
01/01/1993,105
01/01/1994,144
01/01/1995,1762
01/01/1996,1816
01/01/1997,837
01/01/1998,3666
01/01/1999,2573
01/01/2000,2570
01/01/2001,1959
01/01/2002,2303
01/01/2003,2181
01/01/2004,2958
01/01/2005,2518
01/01/2006,3319
01/01/2007,4438
01/01/2008,4355
01/01/2009,8882
01/01/2010,5100
01/01/2010,5625
01/01/2011,3825
01/01/2012,4745
01/01/2013,4350
01/01/2014,3969
01/01/2015,2150
01/01/2016,435
01/01/2017,371
01/01/2018,229
01/01/2019,6
