date,value
1991,59.5
1992,43.2
1993,102.6
1994,1000.6
1995,1737
1996,1210.3
1997,1328.1
1998,4048.2
1999,2473.1
2000,2212.1
2001,1740.7
2002,2598.6
2003,2082.1
2004,3313.9
2005,3236.6
2006,2557.8
2007,4117.8
2008,5642.8
2009,8680.5
2010,5654.6
2011,4787.4
2012,4009.9
2013,4788.1
2014,5517.8
2015,1596.1
2016,1760.2
2017,668.2
2018,198.6
2019,95.4
