date,value
1991,59.5
1992,102.7
1993,205.3
1994,1205.9
1995,2942.9
1996,4153.2
1997,5481.3
1998,9529.5
1999,12002.6
2000,14214.7
2001,15955.4
2002,18554
2003,20636.1
2004,23950
2005,27186.6
2006,29744.4
2007,33862.2
2008,39505
2009,48185.5
2010,53840.1
2011,58627.5
2012,62637.4
2013,67425.5
2014,72943.3
2015,74539.4
2016,76299.6
2017,76967.8
2018,77166.4
2019,77261.8
